Age,Underweight_Height_cm,Underweight_Weight_kg,Healthy_Height_cm,Healthy_Weight_kg,Overweight_Height_cm,Overweight_Weight_kg,Obese_Height_cm,Obese_Weight_kg
18,162.5,46.2,162.5,58.1,162.5,72.6,162.5,92.4
19,162.8,46.4,162.8,58.3,162.8,72.9,162.8,92.8
20,163.0,46.5,163.0,58.5,163.0,73.1,163.0,93.0
21,163.1,46.6,163.1,58.5,163.1,73.2,163.1,93.1
22,163.1,46.6,163.1,58.5,163.1,73.2,163.1,93.1
23,163.1,46.6,163.1,58.5,163.1,73.2,163.1,93.1
24,163.0,46.5,163.0,58.5,163.0,73.1,163.0,93.0
25,163.0,46.5,163.0,58.5,163.0,73.1,163.0,93.0
26,162.9,46.4,162.9,58.4,162.9,73.0,162.9,92.9
27,162.9,46.4,162.9,58.4,162.9,73.0,162.9,92.9
28,162.8,46.4,162.8,58.3,162.8,72.9,162.8,92.8
29,162.8,46.4,162.8,58.3,162.8,72.9,162.8,92.8
30,162.7,46.3,162.7,58.2,162.7,72.8,162.7,92.6
31,162.7,46.3,162.7,58.2,162.7,72.8,162.7,92.6
32,162.6,46.3,162.6,58.2,162.6,72.7,162.6,92.5
33,162.5,46.2,162.5,58.1,162.5,72.6,162.5,92.4
34,162.5,46.2,162.5,58.1,162.5,72.6,162.5,92.4
35,162.4,46.2,162.4,58.0,162.4,72.5,162.4,92.3
36,162.3,46.1,162.3,58.0,162.3,72.4,162.3,92.2
37,162.2,46.0,162.2,57.9,162.2,72.3,162.2,92.1
38,162.1,46.0,162.1,57.8,162.1,72.3,162.1,92.0
39,162.0,45.9,162.0,57.7,162.0,72.2,162.0,91.9
40,161.9,45.9,161.9,57.7,161.9,72.1,161.9,91.7
41,161.8,45.8,161.8,57.6,161.8,72.0,161.8,91.6
42,161.7,45.8,161.7,57.5,161.7,71.9,161.7,91.5
43,161.6,45.7,161.6,57.5,161.6,71.8,161.6,91.4
44,161.5,45.6,161.5,57.4,161.5,71.7,161.5,91.3
45,161.4,45.6,161.4,57.3,161.4,71.6,161.4,91.2
46,161.2,45.5,161.2,57.2,161.2,71.5,161.2,90.9
47,161.1,45.4,161.1,57.1,161.1,71.4,161.1,90.8
48,160.9,45.3,160.9,57.0,160.9,71.2,160.9,90.6
49,160.8,45.2,160.8,56.9,160.8,71.1,160.8,90.5
50,160.6,45.1,160.6,56.7,160.6,70.9,160.6,90.3
51,160.4,45.0,160.4,56.6,160.4,70.8,160.4,90.0
52,160.2,44.9,160.2,56.5,160.2,70.6,160.2,89.8
53,160.0,44.8,160.0,56.3,160.0,70.4,160.0,89.6
54,159.8,44.7,159.8,56.2,159.8,70.2,159.8,89.4
55,159.5,44.5,159.5,56.0,159.5,70.0,159.5,89.0
56,159.3,44.4,159.3,55.8,159.3,69.8,159.3,88.8
57,159.0,44.2,159.0,55.6,159.0,69.5,159.0,88.5
58,158.8,44.1,158.8,55.5,158.8,69.3,158.8,88.3
59,158.5,44.0,158.5,55.3,158.5,69.1,158.5,87.9
60,158.2,43.8,158.2,55.1,158.2,68.8,158.2,87.6
61,157.9,43.6,157.9,54.9,157.9,68.6,157.9,87.3
62,157.6,43.5,157.6,54.6,157.6,68.3,157.6,86.9
63,157.3,43.3,157.3,54.4,157.3,68.0,157.3,86.6
64,157.0,43.1,157.0,54.2,157.0,67.8,157.0,86.3
65,156.7,43.0,156.7,54.0,156.7,67.5,156.7,85.9
66,156.4,42.8,156.4,53.8,156.4,67.3,156.4,85.6
67,156.1,42.6,156.1,53.6,156.1,67.0,156.1,85.3
68,155.7,42.4,155.7,53.3,155.7,66.7,155.7,84.8
69,155.4,42.3,155.4,53.1,155.4,66.4,155.4,84.5
70,155.0,42.0,155.0,52.9,155.0,66.1,155.0,84.1
71,154.7,41.9,154.7,52.7,154.7,65.8,154.7,83.8
72,154.3,41.7,154.3,52.4,154.3,65.5,154.3,83.3
73,153.9,41.4,153.9,52.1,153.9,65.1,153.9,82.9
74,153.5,41.2,153.5,51.8,153.5,64.8,153.5,82.5
75,153.0,41.0,153.0,51.5,153.0,64.4,153.0,81.9
76,152.6,40.8,152.6,51.2,152.6,64.0,152.6,81.5
77,152.2,40.5,152.2,51.0,152.2,63.7,152.2,81.1
78,151.7,40.3,151.7,50.6,151.7,63.3,151.7,80.5
79,151.3,40.1,151.3,50.4,151.3,63.0,151.3,80.1
80,150.8,39.8,150.8,50.0,150.8,62.5,150.8,79.6
